41,67,161,73,213,247,213
37,61,31,135,67,77,67
117,103,119,73,111,89,111
105,153,15,147,111,183,111
45,51,87,105,11,57,11
27,187,19,45,175,215,175
61,9,23,91,31,155,31
87,5,13,85,209,57,209
55,153,5,49,31,133,31
5,25,33,87,79,227,79
73,65,23,65,15,145,15
27,61,103,9,37,129,37
73,45,15,35,31,45,31
5,61,51,25,7,7,7
1,53,77,61,151,65,151
23,119,185,103,43,111,43
151,19,169,5,11,211,11
63,283,101,17,69,7,69
17,31,185,93,29,99,29
7,167,149,119,43,77,43
119,109,71,129,37,129,37
119,79,81,83,25,39,25
185,61,33,107,73,201,73
31,25,11,35,17,139,17
5,277,27,121,79,1,79
199,17,61,83,187,15,187
25,153,195,173,53,9,53
63,83,87,13,155,35,155
49,141,187,27,51,133,51
7,13,155,223,107,155,107
3,63,137,75,145,131,145
45,183,187,29,43,33,43
139,45,41,99,7,191,7
133,59,79,191,19,41,19
27,33,223,7,195,55,195
83,45,111,93,31,89,31
81,47,33,17,131,5,131
185,55,13,81,13,39,13
61,53,21,61,57,9,57
21,11,27,125,251,45,251
53,17,19,53,27,201,27
37,69,183,121,75,41,75
109,51,79,249,199,217,199
17,51,145,79,27,35,27
109,9,81,129,177,35,177
129,1,1,101,209,7,209
47,55,101,129,97,197,97
3,87,205,81,17,13,17
33,53,13,37,183,101,183
7,89,91,41,103,91,103
33,155,41,35,101,13,101
91,181,25,5,65,57,65
49,21,117,63,225,81,225
63,19,91,41,63,105,63
33,57,33,41,133,115,133
181,9,89,35,31,77,31
25,23,79,81,73,155,73
113,103,251,69,61,113,61
143,109,121,25,95,115,95
9,117,47,75,121,43,121
215,195,115,115,135,113,135
87,49,71,77,7,75,7
83,59,35,83,7,19,7
71,3,63,33,37,41,37
9,1,49,85,33,57,33
131,65,193,23,129,129,129
67,9,113,35,107,53,107
33,75,15,69,175,3,175
43,63,105,91,39,29,39
43,121,27,93,195,53,195
65,157,15,85,129,217,129
117,151,183,181,7,11,7
9,39,53,75,77,63,77
117,33,181,63,15,61,15
25,27,13,35,203,87,203
87,145,21,11,1,87,1
45,3,163,135,113,83,113
113,57,61,41,59,7,59
35,63,37,35,57,33,57
23,79,79,187,221,103,221
115,21,79,137,161,83,161
215,17,13,49,51,81,51
33,55,101,117,67,65,67
5,117,159,57,1,203,1
23,73,39,71,23,75,23
105,45,95,29,11,71,11
67,19,47,115,39,97,39
145,149,31,49,87,5,87
15,203,3,71,59,129,59
137,85,39,217,137,197,137
105,137,3,63,193,59,193
105,51,33,149,53,63,53
25,109,223,3,39,35,39
103,223,49,9,9,75,9
37,31,157,117,61,53,61
53,55,19,15,45,45,45
11,45,147,145,41,133,41
93,75,93,47,7,117,7
35,11,23,81,289,73,289
3,33,31,27,17,79,17
43,15,17,187,5,167,5
27,27,53,227,21,39,21
119,65,111,25,265,43,265
99,43,15,21,19,11,19
127,27,117,63,89,17,89
103,105,45,57,133,79,133
61,185,7,205,111,103,111
123,71,25,219,63,175,63
103,81,15,21,75,111,75
1,35,189,11,43,65,43
99,43,181,93,115,35,115
157,29,23,139,3,37,3
223,65,23,13,77,117,77
123,57,11,189,31,5,31
115,59,201,5,5,145,5
145,143,37,53,149,7,149
13,31,17,177,89,83,89
85,133,29,123,99,79,99
93,175,5,133,7,23,7
51,25,69,147,91,59,91
139,137,173,83,45,61,45
49,217,77,23,61,11,61
97,55,111,25,183,131,183
131,27,35,99,63,81,63
223,47,5,113,171,99,171
47,29,271,33,27,47,27
1,43,81,47,99,203,99
17,29,7,17,11,189,11
9,31,195,17,65,209,65
39,83,267,35,141,67,141
101,221,3,23,13,19,13
85,175,93,45,247,29,247
31,19,121,69,9,61,9
5,115,33,5,117,255,117
45,169,29,139,181,179,181
1,15,153,61,29,119,29
45,39,3,121,5,211,5
89,47,31,131,171,47,171
103,131,137,75,183,13,183
75,21,33,199,139,51,139
27,31,81,77,25,57,25
129,87,33,153,109,13,109
27,55,49,135,15,209,15
7,5,121,9,89,65,89
159,61,39,129,71,65,71
81,91,155,1,131,55,131
63,141,11,21,67,135,67
5,59,57,87,41,57,41
43,31,73,129,229,17,229
57,15,7,123,61,55,61
31,9,83,141,17,73,17
29,171,13,87,283,103,283
71,55,7,43,79,169,79
45,113,25,63,37,43,37
83,75,87,3,25,121,25
129,19,181,141,89,181,89
65,37,163,37,29,79,29
157,37,133,73,71,5,71
163,105,79,165,85,25,85
11,71,131,83,61,39,61
1,107,89,65,191,173,191
71,205,27,101,29,35,29
59,77,75,91,27,79,27
39,137,127,55,137,99,137
119,1,149,117,127,9,127
37,135,33,235,153,201,153
67,157,117,31,105,101,105
139,1,115,59,9,5,9
49,29,21,49,55,173,55
77,3,113,63,17,167,17
5,91,7,79,97,31,97
157,181,59,105,61,49,61
87,65,73,33,147,45,147
101,53,3,45,153,43,153
25,81,169,39,111,193,111
61,85,15,43,71,1,71
5,215,159,29,67,51,67
69,55,281,165,71,61,71
